Timestamp: 12:34   , Event Type: Purchase   , User ID: 882
Timestamp: 3:12   , Event Type: ViewPage   , User ID: 503
Timestamp: 19:41   , Event Type: Logout   , User ID: 89
Timestamp: 11:49   , Event Type: Error   , User ID: 234
Timestamp: 10:49   , Event Type: Error   , User ID: 873
Timestamp: 21:20   , Event Type: ViewPage   , User ID: 857
Timestamp: 22:29   , Event Type: Login   , User ID: 305
Timestamp: 0:2   , Event Type: Error   , User ID: 400
Timestamp: 15:29   , Event Type: Login   , User ID: 763
Timestamp: 21:11   , Event Type: Login   , User ID: 269
Timestamp: 14:47   , Event Type: ViewPage   , User ID: 890
Timestamp: 21:28   , Event Type: Logout   , User ID: 615
Timestamp: 23:47   , Event Type: Error   , User ID: 353
Timestamp: 21:20   , Event Type: Login   , User ID: 368
Timestamp: 0:48   , Event Type: Purchase   , User ID: 712
Timestamp: 13:53   , Event Type: Login   , User ID: 525
Timestamp: 0:58   , Event Type: Logout   , User ID: 296
Timestamp: 12:41   , Event Type: Purchase   , User ID: 466
Timestamp: 16:56   , Event Type: Login   , User ID: 259
Timestamp: 6:24   , Event Type: Logout   , User ID: 407
Timestamp: 21:29   , Event Type: Login   , User ID: 319
Timestamp: 14:42   , Event Type: Logout   , User ID: 0
Timestamp: 3:12   , Event Type: Purchase   , User ID: 537
Timestamp: 19:27   , Event Type: ViewPage   , User ID: 126
Timestamp: 3:9   , Event Type: Purchase   , User ID: 628
Timestamp: 15:24   , Event Type: Logout   , User ID: 201
Timestamp: 5:15   , Event Type: Login   , User ID: 241
Timestamp: 2:49   , Event Type: Purchase   , User ID: 255
Timestamp: 14:1   , Event Type: Logout   , User ID: 998
Timestamp: 11:22   , Event Type: Error   , User ID: 91
Timestamp: 3:43   , Event Type: ViewPage   , User ID: 586
Timestamp: 7:32   , Event Type: Login   , User ID: 641
Timestamp: 20:9   , Event Type: Logout   , User ID: 20
Timestamp: 15:23   , Event Type: Purchase   , User ID: 910
Timestamp: 9:32   , Event Type: Purchase   , User ID: 744
Timestamp: 14:58   , Event Type: Error   , User ID: 354
Timestamp: 0:38   , Event Type: ViewPage   , User ID: 707
Timestamp: 8:52   , Event Type: Purchase   , User ID: 519
Timestamp: 20:11   , Event Type: Purchase   , User ID: 900
Timestamp: 20:19   , Event Type: ViewPage   , User ID: 760
Timestamp: 23:42   , Event Type: Purchase   , User ID: 939
Timestamp: 19:25   , Event Type: Purchase   , User ID: 77
Timestamp: 9:8   , Event Type: Logout   , User ID: 780
Timestamp: 6:45   , Event Type: Error   , User ID: 443
Timestamp: 5:53   , Event Type: Purchase   , User ID: 402
Timestamp: 18:52   , Event Type: Purchase   , User ID: 302
Timestamp: 10:52   , Event Type: Logout   , User ID: 798
Timestamp: 15:18   , Event Type: Purchase   , User ID: 705
Timestamp: 0:37   , Event Type: ViewPage   , User ID: 871
Timestamp: 4:15   , Event Type: Logout   , User ID: 714
Timestamp: 15:14   , Event Type: Login   , User ID: 216
Timestamp: 5:48   , Event Type: Logout   , User ID: 8
Timestamp: 19:36   , Event Type: ViewPage   , User ID: 431
Timestamp: 13:26   , Event Type: ViewPage   , User ID: 478
Timestamp: 18:45   , Event Type: Login   , User ID: 914
Timestamp: 3:35   , Event Type: Logout   , User ID: 463
Timestamp: 11:25   , Event Type: ViewPage   , User ID: 713
Timestamp: 17:6   , Event Type: ViewPage   , User ID: 425
Timestamp: 8:51   , Event Type: Purchase   , User ID: 697
Timestamp: 23:33   , Event Type: Purchase   , User ID: 468
Timestamp: 20:34   , Event Type: Login   , User ID: 213
Timestamp: 4:17   , Event Type: ViewPage   , User ID: 338
Timestamp: 22:10   , Event Type: Login   , User ID: 924
Timestamp: 5:55   , Event Type: Logout   , User ID: 30
Timestamp: 20:7   , Event Type: Purchase   , User ID: 8
Timestamp: 4:56   , Event Type: Error   , User ID: 175
Timestamp: 16:6   , Event Type: Logout   , User ID: 202
Timestamp: 10:18   , Event Type: Logout   , User ID: 932
Timestamp: 6:20   , Event Type: Login   , User ID: 881
Timestamp: 20:59   , Event Type: Login   , User ID: 766
Timestamp: 11:20   , Event Type: Login   , User ID: 394
Timestamp: 17:54   , Event Type: Error   , User ID: 491
Timestamp: 23:2   , Event Type: Login   , User ID: 342
Timestamp: 1:2   , Event Type: Logout   , User ID: 399
Timestamp: 3:15   , Event Type: ViewPage   , User ID: 57
Timestamp: 15:12   , Event Type: Logout   , User ID: 698
Timestamp: 12:29   , Event Type: Logout   , User ID: 198
